"","GENDER","RACE","AGE","CRF","BMI","Risk","Range_upper","Range_lower"
"1738","M","B",90,"1",30,5.8,4,8.3
"1739","M","B",90,"2",30,9,5.5,13
"1740","M","B",90,"3",30,14,8.2,20
"1741","M","B",90,"4",30,21,13,29
"1742","M","B",90,"5",30,30,20,38
"1743","M","B",90,"6",30,42,NA,NA
"1744","M","B",90,"0",35,3,NA,NA
"1745","M","B",90,"1",35,4.6,3.2,6.6
"1746","M","B",90,"2",35,7.2,4.4,11
"1747","M","B",90,"3",35,11,6.5,16
"1748","M","B",90,"4",35,17,10,24
"1749","M","B",90,"5",35,25,16,32
"1750","M","B",90,"6",35,35,NA,NA
"1751","M","B",90,"0",40,2.4,NA,NA
"1752","M","B",90,"1",40,3.7,2.6,5.2
"1753","M","B",90,"2",40,5.7,3.5,8.4
"1754","M","B",90,"3",40,8.8,5.1,13
"1755","M","B",90,"4",40,13,8.1,19
"1756","M","B",90,"5",40,20,13,26
"1757","M","B",90,"6",40,29,NA,NA
"1758","M","B",90,"0",45,2,NA,NA
"1759","M","B",90,"1",45,3,2.1,4.1
"1760","M","B",90,"2",45,4.6,2.8,6.6
"1761","M","B",90,"3",45,7,4.1,10
"1762","M","B",90,"4",45,11,6.4,15
"1763","M","B",90,"5",45,16,10,21
"1764","M","B",90,"6",45,24,NA,NA
"1765","F","H",50,"0",15,2.2,NA,NA
"1766","F","H",50,"1",15,3.6,2.4,5.2
"1767","F","H",50,"2",15,5.7,3.1,9.4
"1768","F","H",50,"3",15,8.9,4.4,16
"1769","F","H",50,"4",15,14,7.7,22
"1770","F","H",50,"5",15,21,13,27
"1771","F","H",50,"6",15,31,NA,NA
"1772","F","H",50,"0",20,2.1,NA,NA
"1773","F","H",50,"1",20,3.3,2.2,4.6
"1774","F","H",50,"2",20,5.1,2.7,8.7
"1775","F","H",50,"3",20,7.9,3.8,14
"1776","F","H",50,"4",20,12,6.4,19
"1777","F","H",50,"5",20,18,12,23
"1778","F","H",50,"6",20,26,NA,NA
"1779","F","H",50,"0",25,2,NA,NA
"1780","F","H",50,"1",25,3.1,2.1,4.3
"1781","F","H",50,"2",25,4.8,2.5,8.3
"1782","F","H",50,"3",25,7.3,3.5,13
"1783","F","H",50,"4",25,11,5.7,18
"1784","F","H",50,"5",25,16,11,21
"1785","F","H",50,"6",25,23,NA,NA
"1786","F","H",50,"0",30,1.8,NA,NA
"1787","F","H",50,"1",30,2.7,1.8,3.7
"1788","F","H",50,"2",30,4.2,2.2,7.3
"1789","F","H",50,"3",30,6.4,3,12
"1790","F","H",50,"4",30,9.5,5,16
"1791","F","H",50,"5",30,14,9.5,19
"1792","F","H",50,"6",30,20,NA,NA
"1793","F","H",50,"0",35,1.5,NA,NA
"1794","F","H",50,"1",35,2.4,1.6,3.3
"1795","F","H",50,"2",35,3.7,1.9,6.4
"1796","F","H",50,"3",35,5.6,2.6,10
"1797","F","H",50,"4",35,8.3,4.3,14
"1798","F","H",50,"5",35,12,8.4,16
"1799","F","H",50,"6",35,18,NA,NA
"1800","F","H",50,"0",40,1.3,NA,NA
"1801","F","H",50,"1",40,2.1,1.4,2.8
"1802","F","H",50,"2",40,3.2,1.7,5.6
"1803","F","H",50,"3",40,4.9,2.3,9.1
"1804","F","H",50,"4",40,7.3,3.8,12
"1805","F","H",50,"5",40,11,7.3,14
"1806","F","H",50,"6",40,15,NA,NA
"1807","F","H",50,"0",45,1.2,NA,NA
"1808","F","H",50,"1",45,1.8,1.2,2.5
"1809","F","H",50,"2",45,2.8,1.5,5
"1810","F","H",50,"3",45,4.3,2,8
"1811","F","H",50,"4",45,6.3,3.3,11
"1812","F","H",50,"5",45,9.3,6.4,13
"1813","F","H",50,"6",45,13,NA,NA
"1814","F","H",55,"0",15,3.5,NA,NA
"1815","F","H",55,"1",15,5.6,3.9,7.8
"1816","F","H",55,"2",15,8.8,4.9,14
